"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 06:09:06 GMT 2024","Tue Jun 11 06:09:06 GMT 2024","487","tests","test_users","TestUsers","","","test_update_from_put_user",""
"passed","Tue Jun 11 06:09:01 GMT 2024","Tue Jun 11 06:09:02 GMT 2024","349","tests","test_login","TestLogin","","","test_unsuccessful_register",""
"passed","Tue Jun 11 06:09:07 GMT 2024","Tue Jun 11 06:09:07 GMT 2024","443","tests","test_users","TestUsers","","","test_delete_user",""
"passed","Tue Jun 11 06:09:02 GMT 2024","Tue Jun 11 06:09:02 GMT 2024","376","tests","test_register","TestRegister","","","test_successful_register",""
"passed","Tue Jun 11 06:09:02 GMT 2024","Tue Jun 11 06:09:02 GMT 2024","360","tests","test_register","TestRegister","","","test_unsuccessful_register",""
"passed","Tue Jun 11 06:09:02 GMT 2024","Tue Jun 11 06:09:02 GMT 2024","44","tests","test_resources","TestResources","","","test_get_resources",""
"passed","Tue Jun 11 06:09:02 GMT 2024","Tue Jun 11 06:09:03 GMT 2024","766","tests","test_resources","TestResources","","","test_get_random_resource",""
"passed","Tue Jun 11 06:09:07 GMT 2024","Tue Jun 11 06:09:10 GMT 2024","3365","tests","test_users","TestUsers","","","test_delay_request",""
"passed","Tue Jun 11 06:09:05 GMT 2024","Tue Jun 11 06:09:06 GMT 2024","355","tests","test_users","TestUsers","","","test_create_user",""
"passed","Tue Jun 11 06:09:05 GMT 2024","Tue Jun 11 06:09:05 GMT 2024","421","tests","test_users","TestUsers","","","test_user_not_found",""
"passed","Tue Jun 11 06:09:03 GMT 2024","Tue Jun 11 06:09:04 GMT 2024","413","tests","test_resources","TestResources","","","test_resource_not_found",""
"passed","Tue Jun 11 06:09:04 GMT 2024","Tue Jun 11 06:09:04 GMT 2024","52","tests","test_users","TestUsers","","","test_users_email",""
"passed","Tue Jun 11 06:09:04 GMT 2024","Tue Jun 11 06:09:05 GMT 2024","1079","tests","test_users","TestUsers","","","test_get_user_by_random_id",""
"passed","Tue Jun 11 06:09:04 GMT 2024","Tue Jun 11 06:09:04 GMT 2024","45","tests","test_users","TestUsers","","","test_users_avatar",""
"passed","Tue Jun 11 06:09:01 GMT 2024","Tue Jun 11 06:09:01 GMT 2024","423","tests","test_login","TestLogin","","","test_successful_register",""
"passed","Tue Jun 11 06:09:06 GMT 2024","Tue Jun 11 06:09:07 GMT 2024","430","tests","test_users","TestUsers","","","test_update_from_patch_user",""
