"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 06:37:19 GMT 2024","Tue Jun 11 06:37:19 GMT 2024","310","tests","test_resources","TestResources","","","test_get_random_resource",""
"passed","Tue Jun 11 06:37:18 GMT 2024","Tue Jun 11 06:37:18 GMT 2024","245","tests","test_login","TestLogin","","","test_successful_register",""
"passed","Tue Jun 11 06:37:19 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","274","tests","test_resources","TestResources","","","test_resource_not_found",""
"passed","Tue Jun 11 06:37:21 GMT 2024","Tue Jun 11 06:37:22 GMT 2024","306","tests","test_users","TestUsers","","","test_delete_user",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","269","tests","test_users","TestUsers","","","test_user_not_found",""
"passed","Tue Jun 11 06:37:21 GMT 2024","Tue Jun 11 06:37:21 GMT 2024","507","tests","test_users","TestUsers","","","test_update_from_patch_user",""
"passed","Tue Jun 11 06:37:22 GMT 2024","Tue Jun 11 06:37:25 GMT 2024","3234","tests","test_users","TestUsers","","","test_delay_request",""
"passed","Tue Jun 11 06:37:19 GMT 2024","Tue Jun 11 06:37:19 GMT 2024","39","tests","test_resources","TestResources","","","test_get_resources",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:21 GMT 2024","299","tests","test_users","TestUsers","","","test_update_from_put_user",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","235","tests","test_users","TestUsers","","","test_create_user",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","34","tests","test_users","TestUsers","","","test_users_avatar",""
"passed","Tue Jun 11 06:37:19 GMT 2024","Tue Jun 11 06:37:19 GMT 2024","218","tests","test_register","TestRegister","","","test_unsuccessful_register",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","324","tests","test_users","TestUsers","","","test_get_user_by_random_id",""
"passed","Tue Jun 11 06:37:18 GMT 2024","Tue Jun 11 06:37:19 GMT 2024","276","tests","test_register","TestRegister","","","test_successful_register",""
"passed","Tue Jun 11 06:37:18 GMT 2024","Tue Jun 11 06:37:18 GMT 2024","241","tests","test_login","TestLogin","","","test_unsuccessful_register",""
"passed","Tue Jun 11 06:37:20 GMT 2024","Tue Jun 11 06:37:20 GMT 2024","32","tests","test_users","TestUsers","","","test_users_email",""
